Price (SYP),Bathrooms,Bedrooms,Size (sqm),Location,furnished
1800000000,2,5,120,Damascus,Yes
2500000000,1,3,110,Damascus,Yes
800000000,1,2,65,Damascus,No
750000000,1,2,90,Damascus,Yes
650000000,1,3,60,Damascus,Yes
3000000000,2,5,130,Damascus,Yes
1100000000,2,4,105,Damascus,Yes
600000000,1,4,100,Damascus,No
500000000,2,2,60,Damascus,Yes
850000000,1,3,85,Damascus,Yes
900000000,1,1,85,Damascus,Yes
1200000000,1,1,60,Damascus,Yes
1500000000,2,6,140,Damascus,Yes
300000000,1,2,100,Damascus,No
450000000,1,2,45,Damascus,No
